Polarity,Sentiment,Tweet
-0.08787878787878789,b'Negative',"[""b'chitraSD: Alas, nothing new. I received death threats during the Bofors investigation especially between 1988 &amp; 1990. Under pressure fr\\xe2\\x80\\xa6'""]"
0.0,b'Neutral',"[""b'Paurassinh: Pakistan could soon become, country with the 3rd largest Nuclear Stockpile, is it not a wake-up call for India ? are Nucl\\xe2\\x80\\xa6'""]"
0.0,b'Neutral',"[""b'Indian-American publisher acquires TV channel with eye on Indian market\\n\\n"
0.0,b'Neutral',"[""b'may_singh1: One relieving fact and difference:\\n\\nHindus look up to RSS as resistance movement, not source of morality or lifestyle choic\\xe2\\x80\\xa6'""]"
0.35,b'Positive',"[""b'Anmol_77: Communist \\xe2\\x98\\xad and Congressi are so rattled to see ModiInChina that they are indulging in low politics. Good to see PM Narendra\\xe2\\x80\\xa6'""]"
0.0,b'Neutral',"[""b'Is Putin a puppet?Interview with Mikhail Khodorkovsky"
0.0,b'Neutral',"[""b'tribesindiaghy: Get your home decor items online at"
0.0,b'Neutral',"[""b'bbcnewstelugu: \\xe0\\xb0\\xad\\xe0\\xb0\\xbe\\xe0\\xb0\\xb0\\xe0\\xb0\\xa4\\xe0\\xb1\\x8d, \\xe0\\xb0\\x9a\\xe0\\xb1\\x88\\xe0\\xb0\\xa8\\xe0\\xb0\\xbe\\xe0\\xb0\\xb2\\xe0\\xb0\\x95\\xe0\\xb1\\x81 \\xe0\\xb0\\xb8\\xe0\\xb0\\x82\\xe0\\xb0\\xac\\xe0\\xb0\\x82\\xe0\\xb0\\xa7\\xe0\\xb0\\xbf\\xe0\\xb0\\x82\\xe0\\xb0\\x9a\\xe0\\xb0\\xbf\\xe0\\xb0\\xa8 \\xe0\\xb0\\x95\\xe0\\xb1\\x8a\\xe0\\xb0\\xa8\\xe0\\xb1\\x8d\\xe0\\xb0\\xa8\\xe0\\xb0\\xbf \\xe0\\xb0\\x97\\xe0\\xb0\\xa3\\xe0\\xb0\\xbe\\xe0\\xb0\\x82\\xe0\\xb0\\x95\\xe0\\xb0\\xbe\\xe0\\xb0\\xb2\\xe0\\xb1\\x81.. \\xe0\\xb0\\xae\\xe0\\xb1\\x80 \\xe0\\xb0\\x95\\xe0\\xb1\\x8b\\xe0\\xb0\\xb8\\xe0\\xb0\\x82 \\xe0\\xb0\\xaa\\xe0\\xb1\\x8d\\xe0\\xb0\\xb0\\xe0\\xb0\\xa4\\xe0\\xb1\\x8d\\xe0\\xb0\\xaf\\xe0\\xb1\\x87\\xe0\\xb0\\x95\\xe0\\xb0\\x82\\nChina ModiXiSummit India"
-0.08888888888888886,b'Negative',"[""b'IRidaRubabSayed: Press Council of India gave clean chit to horrible kunanposhpora ,why?\\nsimilarly BarCouncil of India gave a clean ch\\xe2\\x80\\xa6'""]"
0.0,b'Neutral',"[""b'About to type Congratulations and WhatsApp shows that it knows am a UPwaala. Whatsapp India"
0.06944444444444443,b'Positive',"[""b'EconomicTimes narendramodi Shorn of prejudiced, tinted political views PMOIndia narendramodi is doing an outstanding job as Prime Minister: we in India should support his intentions and laud the hard work he &amp; his team puts in'""]"
0.10000000000000002,b'Positive',"[""b'SiddiquiShereen: If there is no quality education\\nIf the quacks are treated as real doctors\\nIndia will not be developed in medical fi\\xe2\\x80\\xa6'""]"
0.0,b'Neutral',"[""b'olympicdeva: Boxing Training Ritika Singh. Ritika Boxeo boxers boxing India deva TamilNadu Chennai"
0.10000000000000002,b'Positive',"[""b'SiddiquiShereen: If there is no quality education\\nIf the quacks are treated as real doctors\\nIndia will not be developed in medical fi\\xe2\\x80\\xa6'""]"
0.13636363636363635,b'Positive',"[""b'LambaAlka: \\xe0\\xa4\\xad\\xe0\\xa4\\xbe\\xe0\\xa4\\xb0\\xe0\\xa4\\xa4 \\xe0\\xa4\\x95\\xe0\\xa5\\x87 \\xe0\\xa4\\xaa\\xe0\\xa5\\x8d\\xe0\\xa4\\xb0\\xe0\\xa4\\xa7\\xe0\\xa4\\xbe\\xe0\\xa4\\xa8\\xe0\\xa4\\xae\\xe0\\xa4\\x82\\xe0\\xa4\\xa4\\xe0\\xa5\\x8d\\xe0\\xa4\\xb0\\xe0\\xa5\\x80 \\xe0\\xa4\\x95\\xe0\\xa4\\xbe \\xe0\\xa4\\x85\\xe0\\xa4\\xa8\\xe0\\xa5\\x8c\\xe0\\xa4\\xaa\\xe0\\xa4\\x9a\\xe0\\xa4\\xbe\\xe0\\xa4\\xb0\\xe0\\xa4\\xbf\\xe0\\xa4\\x95 \\xe0\\xa4\\x9a\\xe0\\xa5\\x80\\xe0\\xa4\\xa8 \\xe0\\xa4\\xa6\\xe0\\xa5\\x8c\\xe0\\xa4\\xb0\\xe0\\xa4\\xbe ..\\n\\xe0\\xa4\\x95\\xe0\\xa5\\x8d\\xe0\\xa4\\xaf\\xe0\\xa4\\xbe \\xe0\\xa4\\x96\\xe0\\xa5\\x8b\\xe0\\xa4\\xaf\\xe0\\xa4\\xbe , \\xe0\\xa4\\x95\\xe0\\xa5\\x8d\\xe0\\xa4\\xaf\\xe0\\xa4\\xbe \\xe0\\xa4\\xaa\\xe0\\xa4\\xbe\\xe0\\xa4\\xaf\\xe0\\xa4\\xbe \\xe0\\xa4\\xb9\\xe0\\xa4\\xae\\xe0\\xa4\\xa8\\xe0\\xa5\\x87..?\\nJoin me live on FB at 11:30am today.\\n\\xe0\\xa4\\x9c\\xe0\\xa4\\xaf \\xe0\\xa4\\xb9\\xe0\\xa4\\xbf\\xe0\\xa4\\x82\\xe0\\xa4\\xa6\\xe0\\xa5\\xa4\\nC\\xe2\\x80\\xa6'""]"
